2.168057997576523788e-02,1.145567109780699921e-02,8.127208895467599725e-03
2.192707870060116304e-02,1.201834708880377203e-02,7.641665050706450066e-03
2.217460754973175560e-02,1.257953890471859293e-02,7.156674395719368753e-03
2.242320213147782487e-02,1.313927772652941951e-02,6.672354091811717215e-03
2.267289689375688241e-02,1.369759326589260230e-02,6.188816145637481003e-03
2.292373547893703997e-02,1.425452339746414304e-02,5.706203142561154691e-03
2.317575441014662826e-02,1.481009907098363061e-02,5.224632265382225631e-03
2.342898831211116112e-02,1.536434936713216778e-02,4.744213858176272829e-03
2.368347377490983424e-02,1.591730512734887068e-02,4.265064881603673579e-03
2.393901546827132548e-02,1.646883578443620808e-02,3.786768746190443020e-03
2.419599127638516478e-02,1.701920677294710763e-02,3.310218728919844377e-03
2.445442750171243629e-02,1.756844052858893418e-02,2.835504504372799578e-03
2.471426580229479572e-02,1.811650131029355487e-02,2.362522682848282405e-03
2.497544851901212920e-02,1.866335424324411241e-02,1.891171965819773634e-03
2.523791838652929970e-02,1.920896497848734175e-02,1.421352324121504234e-03
2.550161872274310168e-02,1.975329993371791742e-02,9.529655792116079917e-04
2.576649346291707762e-02,2.029632633395752131e-02,4.859155013833119964e-04
2.603248715701943564e-02,2.083801219798510004e-02,2.010777699397274521e-05
2.629954491034584840e-02,2.137832603566512321e-02,-4.445507224885871227e-04
2.656761244570030739e-02,2.191723716491075086e-02,-9.081511750185411631e-04
2.683663611217993947e-02,2.245471575646393325e-02,-1.370782699828003567e-03
2.710656286828131215e-02,2.299073274778083015e-02,-1.832532565394034540e-03
2.737734028151383309e-02,2.352525984211104731e-02,-2.293486191670744342e-03
2.764891629578717508e-02,2.405826895448854447e-02,-2.753728493074605443e-03
2.792123934032680194e-02,2.458973247113372188e-02,-3.213343249662227973e-03
2.819425854754588345e-02,2.511962376835500527e-02,-3.672411849250013620e-03
2.846792362027765824e-02,2.564791689633855176e-02,-4.131014053946210039e-03
2.874218483177543026e-02,2.617458657914827416e-02,-4.589228000150908683e-03
2.901699296749810780e-02,2.669960801381190962e-02,-5.047130685976220638e-03
2.929229928002887937e-02,2.722295671473315415e-02,-5.504798348704712657e-03
